address,city,country,state,name,lon,lat
278 South Main St,Yuma,USA,AZ,Prison Hill Brewing Co,-114.61786,32.72249
278 South Main St,Yuma,USA,AZ,Yuma Brewing,-114.61786,32.72249
2737 West Thunderbird Rd #102,Phoenix,USA,AZ,Bold Barley Brewing,-112.11919,33.60981
255 S Market St,Gilbert,USA,AZ,Arriba Mexican Grill,-111.74378,33.2976
245 South Plumer Ave #27,Tucson,USA,AZ,Iron John's Brewing Co,-110.93935,32.21898
2401 South Wilson St,Tempe,USA,AZ,Four Peaks Brewing - Production Brewery,-111.94413,33.4025
233 West Route 66,Williams,USA,AZ,Grand Canyon Brewery,-112.18873,35.2504
2323 East Greenlaw Lane #4,Flagstaff,USA,AZ,Cosmic Beer,-111.61168,35.21496
225 West University Dr #103,Tempe,USA,AZ,Cartel Brewery,-111.94297,33.42179
22215 West Ashleigh Marie Dr,Buckeye,USA,AZ,Veritas Brewing,-112.52841,33.43036
2218 East Williams Field Road #101,Gilbert,USA,AZ,Gordon Biersch Brewing,-111.74353,33.30686
2144 E. Indian School Rd,Phoenix,USA,AZ,Helton Brewing Co,-112.03476,33.49517
2125 North 24th St,Phoenix,USA,AZ,Wen House Brewing Co,-112.02988,33.47132
21001 North Tatum Blvd,Phoenix,USA,AZ,Rock Bottom Restaurant & Brewery,-111.97729,33.6775
2100 Casino Dr,Laughlin,USA,AZ,Boiler Room Brewpub,-114.62475,35.12431
210 Swanson Ave,Lake Havasu City,USA,AZ,Mudshark Brewing,-114.34301,34.46949
20518 East Orchard Lane,Queen Creek,USA,AZ,Owl's Orchard Brewery,-111.63953,33.21363
2050 Yavapai Dr,Sedona,USA,AZ,Oak Creek Brewing,-111.79608,34.86618
200 Review Alley,Bisbee,USA,AZ,Old Bisbee Brewing,-109.91352,31.44284
1940 College Dr,Lake Havasu City,USA,AZ,College Street Brewhouse & Pub,-114.34572,34.50764
1920 East University,Tempe,USA,AZ,Sleepy Dog Saloon & Brewery,-111.90418,33.42303
1859 West Grant Road,Tucson,USA,AZ,Dragoon Brewing,-111.00583,32.24929
173 West Main St,Springerville,USA,AZ,Wild Weede Brewery,-109.28771,34.13492
17211 N 79th Ave,Glendale,USA,AZ,Arriba Mexican Grill,-112.22952,33.64028
17035 North 67th Ave #6,Glendale,USA,AZ,Dubina Brewing Co,-112.2022,33.63976
1702 East Speedway Blvd,Tucson,USA,AZ,1702 Beer & Pizza - The Address Brewing,-110.94665,32.2358
1641 South Stapley Dr,Mesa,USA,AZ,Beer Research Institute,-111.80275,33.38465
16 East Route 66,Flagstaff,USA,AZ,Flagstaff Brewing,-111.64896,35.19743
1590 Swenson St,Prescott,USA,AZ,Black Hole Beer Co,-112.49455,34.56577
159 West White Mountain Blvd,Lakeside,USA,AZ,Pinetop Brewing,-109.95655,34.14297
15730 North Pima Road #D5-7,Scottsdale,USA,AZ,Four Peaks Brewing,-111.89098,33.62861
15651 West Roosevelt St,Goodyear,USA,AZ,Saddle Mountain Brewing Co,-112.39565,33.45641
15444 North Greenway Hayden Loop,Scottsdale,USA,AZ,Birreria Italia,-111.92309,33.62654
15236 N Pima Rd,Scottsdale,USA,AZ,Arriba Mexican Grill,-111.89164,33.62545
1520 West Mineral Rd,Tempe,USA,AZ,Huss Brewing,-111.96486,33.35677
1519 North Main St # 102,Flagstaff,USA,AZ,Wanderlust Brewing Company,-111.6178,35.20148
1500 East Pusch Wilderness Dr - Unit 12204,Oro Valley,USA,AZ,Pueblo Vida Brewing,-110.94697,32.40086
150 West Main St,Mesa,USA,AZ,Desert Eagle Brewing,-111.83591,33.4153
1425 McCulloch Blvd,Lake Hav. City,USA,AZ,Barley Brothers Brewery and Grill,-114.25912,34.45814
14205 South 50th St,Phoenix,USA,AZ,Rock Bottom Restaurant & Brewery,-111.97604,33.31793
1340 East Eighth Street #104,Tempe,USA,AZ,Four Peaks Brewing,-111.91593,33.41944
1326 West Highway 92 - Suite 8,Bisbee,USA,AZ,Beast Brewing,-109.93,31.39711
1312 North Scottsdale Road,Scottsdale,USA,AZ,Fate Brewing #2,-111.92697,33.46262
130-A West Gurley St,Prescott,USA,AZ,Prescott Brewing,-112.46973,34.54198
