TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,2591,2591,1,Dodori,Dodori,National Reserve,National Reserve,National,Not Reported,Not Applicable,1,5.97,18.199737,877.39,732.738848615935,Not Reported,0,Designated,1976,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,1068,KE-300,KEN,KEN
Polygon,2592,2592,1,North Kitui,North Kitui,National Reserve,National Reserve,National,VI,Not Applicable,0,0,0,745,671.612702083477,Not Applicable,0,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-400,KEN,KEN
Polygon,2596,2596,1,Nasolot,Nasolot,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,194,75.7083586385642,Not Applicable,0,Designated,1979,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-700,KEN,KEN
Polygon,7420,7420,1,Kakamega,Kakamega,National Reserve,National Reserve,National,II,Not Applicable,0,0,0,44.68,47.8317090209876,Not Applicable,0,Designated,1985,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-800,KEN,KEN
Polygon,7422,7422,1,Arabuko Sokoke,Arabuko Sokoke,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,416.76,370.009936732704,Not Applicable,0,Designated,1943,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-300,KEN,KEN
Polygon,7423,7423,1,Diani,Diani,Marine National Reserve,Marine National Reserve,National,VI,Not Applicable,2,75,107.611975812398,75,107.371279518598,Not Reported,0,Designated,1995,Federal or national ministry or agency,Not Reported,Kenya Wildlife Service,Not Reported,Not Reported,1069,Marine,KEN,KEN
Polygon,7506,7506,1,Hell's Gate,Hell's Gate,National Park,National Park,National,II,Not Applicable,0,0,0,68,119.389383492508,Not Applicable,0,Designated,1984,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,177,KE-700,KEN,KEN
Polygon,7542,7542,1,Bahati,Bahati,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,101.01,112.451625578206,Not Applicable,0,Designated,1932,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-200,KEN,KEN
Polygon,7543,7543,1,Buda,Buda,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,6.7,6.29063227514451,Not Applicable,0,Designated,1932,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-300,KEN,KEN
Polygon,7544,7544,1,Bunyala,Bunyala,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,8.08,10.2744661134729,Not Applicable,0,Designated,1956,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-800,KEN,KEN
Polygon,7567,7567,1,Kaisungor,Kaisungor,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,10.89,10.9658610368915,Not Applicable,0,Designated,1941,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,7547,7547,1,Chemorogok,Chemorogok,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,13.38,111.816181521931,Not Applicable,0,Designated,1949,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,7548,7548,1,Chemurokoi,Chemurokoi,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,39.79,38.6071384358516,Not Applicable,0,Designated,1941,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,7549,7549,1,Chepalungu,Chepalungu,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,49.77,50.2319640876803,Not Applicable,0,Designated,1956,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,7552,7552,1,Dagoretti,Dagoretti,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,7.74,8.52752137697716,Not Applicable,0,Designated,1938,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-110,KEN,KEN
Polygon,7555,7555,1,Eburu,Eburu,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,87.36,81.8808392739518,Not Applicable,0,Designated,1932,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,7557,7557,1,Embakasi,Embakasi,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,5.91,6.48893922029171,Not Applicable,0,Designated,1941,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-110,KEN,KEN
Polygon,7558,7558,1,Embobut,Embobut,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,216.89,200.606849672502,Not Applicable,0,Designated,1954,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,7572,7572,1,Kapchemutwa,Kapchemutwa,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,88.74,92.4955820510071,Not Applicable,0,Designated,1941,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
Polygon,7574,7574,1,Kapkanyar,Kapkanyar,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,57.64,70.2013553049751,Not Applicable,0,Designated,1967,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-700,KEN,KEN
